,Carrier,Dep Arpt,Arr Arpt,Gate Time,Dir,Slack,Gate Dep Dly,Gate Arr Dly,Carrier Delay
4,FFT,SFO,DEN,18:44,In,-4,17,34,6
4,FFT,DEN,MKE,18:45,Out,-3,45,42,4
4,FFT,DEN,STL,19:02,Out,-2,2,0,0
4,FFT,DEN,DAY,19:08,Out,-1,8,6,0
4,FFT,MKE,DEN,19:10,In,-2,500,511,500
4,FFT,OKC,DEN,19:13,In,-3,19,30,5
4,FFT,DEN,SAN,19:15,Out,-2,70,65,3
4,FFT,SBA,DEN,19:15,In,-3,41,51,0
4,FFT,DEN,LAS,19:17,Out,-2,52,49,1
4,FFT,DEN,IND,19:18,Out,-1,13,4,0
4,FFT,OMA,DEN,19:20,In,-2,0,6,0
4,FFT,DEN,BNA,19:25,Out,-1,15,17,0
4,FFT,DEN,CAK,19:27,Out,0,22,10,0
4,FFT,DEN,MDW,19:29,Out,1,30,24,5
4,FFT,DEN,GRR,19:31,Out,2,6,0,0
4,FFT,DEN,MCI,19:34,Out,3,14,12,0
4,FFT,CID,DEN,19:34,In,2,3,0,0
4,FFT,DEN,RFD,19:35,Out,3,35,23,0
4,FFT,LAX,DEN,19:36,In,2,82,80,0
4,FFT,DEN,DSM,19:42,Out,3,27,18,0
4,FFT,DEN,AUS,19:53,Out,4,28,21,0
4,FFT,ATL,DEN,19:57,In,3,0,0,0
4,FFT,MCO,DEN,19:57,In,2,72,67,5
4,FFT,IAH,DEN,20:10,In,1,0,0,0
4,FFT,DEN,OMA,20:12,Out,2,22,20,0
4,FFT,AUS,DEN,20:15,In,1,0,0,0
4,FFT,LIT,DEN,20:21,In,0,28,15,0
4,FFT,DEN,MSN,20:22,Out,1,67,61,0
4,FFT,MSP,DEN,20:27,In,0,9,15,0
4,FFT,PHF,DEN,20:27,In,-1,51,72,2
4,FFT,MDW,DEN,20:30,In,-2,3,0,0
4,FFT,DCA,DEN,20:42,In,-3,13,44,13
4,FFT,DEN,ATL,20:43,Out,-2,98,102,19
4,FFT,DEN,MCI,20:44,Out,-1,180,172,0
4,FFT,PHX,DEN,20:46,In,-2,0,4,0
4,FFT,IND,DEN,20:47,In,-3,14,12,0
4,FFT,MKE,DEN,20:47,In,-4,17,19,9
4,FFT,DFW,DEN,21:01,In,-5,36,38,0
4,FFT,DEN,MKE,21:08,Out,-4,73,63,1
4,FFT,DEN,PDX,21:11,Out,-3,0,0,0
4,FFT,DEN,SNA,21:16,Out,-2,6,2,0
4,FFT,DEN,DFW,21:16,Out,-1,61,54,0
4,FFT,LAS,DEN,21:23,In,-2,38,39,0
4,FFT,DEN,DTW,21:24,Out,-1,139,128,0
4,FFT,DEN,SLC,21:29,Out,0,0,0,0
4,FFT,DTW,DEN,21:31,In,-1,71,92,0
4,FFT,DEN,GEG,21:36,Out,0,11,10,0
4,FFT,SLC,DEN,21:38,In,-1,8,5,0
4,FFT,LGA,DEN,21:39,In,-2,90,108,7
4,FFT,DEN,SEA,21:41,Out,-1,26,25,13
4,FFT,DEN,SFO,21:41,Out,0,21,13,0
4,FFT,DEN,LAS,21:47,Out,1,17,14,0
4,FFT,DEN,SAN,21:58,Out,2,48,49,17
